id,title,manufacturer,price
0,learning quickbooks 2007,intuit,38.99
1,superstart ! fun with reading & writing !,nan,8.49
2,qb pos 6.0 basic software,intuit,637.99
3,math missions : the amazing arcade adventure ( grades 3-5 ),nan,12.95
4,production prem cs3 mac upgrad,adobe software,805.99
5,video studio 11 plus,corel corporation,103.99
6,edius pro 4,canopus/grass valley,585.99
7,qb pos 6.0 pro multi store sw,intuit,1054.99
8,qb credit card kit 3.0,intuit,25.99
9,vegas movie studiodvd +8 plat,sony creative software,92.99
10,qb pos 6.0 pro solution hw/sw,intuit,1474.99
11,ares rising,nan,29.95
12,evergirl : pc cd-rom video game,nan,14.99
13,cd384-aisk9 = cisco ios advanced ip services complete package cd,nan,2068.26
14,633808063023 wasp bar code fontware complete package 10 users cd win english,nan,154.6
15,0202-034 axis camera station license 1 additional user,nan,95.12
16,eu063av aba microsoft windows xp professional license and media 1 user cto english -,nan,137.09
17,bb0gyna ibm informix dynamic server enterprise edition v. 9.4 media cd linux,nan,195.53
18,eqzfn07-201 zetafax business edition license 5 users win,nan,499.17
19,633808390266 wasp mobileasset professional edition combo pack with spt 1800 v. 5 comp,nan,2021.99
20,wg017449 watchguard firebox x5500e utm software suite subscription license 1 year +,nan,3715.48
21,11k2990 international printing for mysap.com complete package 1 client cd englis,nan,149.43
22,5325302018 snap enterprise data replicator license 1 server linux unix win,nan,663.22
23,38039440dm adobe flash cs3 professional v. 9 media tlp tlp nonprofit dvd win,nan,18.88
24,11105106 symantec bindview policy manager v. 1.0 media cd win english,nan,16.09
25,25510587 adobe after effects cs3 professional complete package 1 user dvd win c,nan,1054.23
26,wg017127 watchguard gateway antivirus for e-mail maintenance 1 year 1 device wi,nan,751.44
27,did0480p-m311 plasmon additional maintenance 24x7 plasmon diamond technical support consul,nan,1562.06
28,633808035020 wasp nest ccd suite business edition complete package 1 user cd win,nan,179.03
29,711-00072 microsoft entertainment pocketpak 2004 productivity pack complete package 1,nan,29.93
30,01-ssc-6993 sonicwall client/server anti-virus suite subscription license 3 years 50,nan,3992.98
31,buvsag-00000 ulead videostudio 10 complete package 1 user win english,nan,61.94
32,s71-00009 perfect dark zero complete package 1 user microsoft xbox 360 dvd engli,nan,34.38
33,c6q-00002 microsoft digital image suite plus complete package 1 pc cd-rom ( mini box ),nan,93.33
34,ma166z/a ilife '06 complete package 1 user dvd mac,nan,72.74
35,s45es-12225sg = cisco ios enterprise services v. 12.2 ( 25 ) sg complete package,nan,7022.74
36,t74-00004 microsoft windows small business server 2003 license 20 additional user cals,nan,1834.4
37,122103 quarkxpress v. 7 complete package 1 user cd win mac,nan,742.21
38,dsv3-swa dsview v. 3 license 5 users 1 hub win,nan,2426.1
39,366125-002 hp care pack software technical support vmware virtualcenter 1 node 2 process,nan,1589.95
40,378517z lenovo thinkvantage imageultra builder ( non-lenovo systems ) v. 3.0 licen,nan,17.21
41,fpm32c070-a08n monarch standard edition v. 7.0 complete package 8 users cd win,nan,3640.84
42,910519-004 rumba as/400 edition v. 7.4 upgrade license 1 processor tier p10 c,nan,3223.26
43,10568 hoyle puzzle & board games 2005 complete package 1 user pc cd win,nan,14.51
44,dm0016009 contivity stateful firewall license 1 switch english,nan,371.5
45,22030094 adobe encore dvd v. 2.0 complete package 1 user dvd win universa,nan,377.61
46,5325302020 snap enterprise data replicator advanced license 1 server linux unix win,nan,1320.64
47,b11-01215 microsoft works suite 2006 license and media 1 user cd win english u,nan,94.08
48,bb117ac hp storageworks data protector express backup server product upgrade package -,nan,459.3
49,w-1rp-f-wx-00 crystal reports xi professional edition complete package 1 user win fren,nan,538.5
50,633808105020 wasp bar code labeler complete package 3 users cd win english,nan,195.77
51,01-ssc-7316 sonicwall cfs premium gov/ed edition for sonicwall pro 4100 subscription licen,nan,2565.08
52,11105093 symantec web security for microsoft isa server 2004 v. 5.0 media cd -,nan,16.09
